Country,Commodity type,srcYear,Imports or exports,Quantity of imports or exports of principal agricultural commodities ,Value of imports or exports of principal agricultural commodities ,YearCode,Year
India,Processed fruits and juices,2010-11,Imports,,251.54,2010,"Financial Year (Apr - Mar), 2010"
India,Cereal preparations,2010-11,Imports,37.73,243.43,2010,"Financial Year (Apr - Mar), 2010"
India,Percentage Share of Agricultural Exports in National Exports,2010-11,Exports,,9.94,2010,"Financial Year (Apr - Mar), 2010"
India,Fresh fruits,2010-11,Exports,446.76,1355.19,2010,"Financial Year (Apr - Mar), 2010"
India,Milled products,2010-11,Imports,3.74,10.96,2010,"Financial Year (Apr - Mar), 2010"
India,Misc processed items,2010-11,Imports,,664.01,2010,"Financial Year (Apr - Mar), 2010"
India,Total National Exports,2010-11,Exports,,1136964.22,2010,"Financial Year (Apr - Mar), 2010"
India,Animal casings,2010-11,Imports,0,0,2010,"Financial Year (Apr - Mar), 2010"
India,Fruits/vegetable seeds,2010-11,Exports,11.62,184.92,2010,"Financial Year (Apr - Mar), 2010"
India,Buffalo meat,2010-11,Imports,0,0,2010,"Financial Year (Apr - Mar), 2010"
India,Groundnut,2010-11,Imports,0,0,2010,"Financial Year (Apr - Mar), 2010"
India,Sheep/goat meat,2010-11,Imports,0.03,0.8,2010,"Financial Year (Apr - Mar), 2010"
India,Other meat,2010-11,Imports,0.35,7.01,2010,"Financial Year (Apr - Mar), 2010"
India,Total Agricultural Exports,2010-11,Exports,,113046.58,2010,"Financial Year (Apr - Mar), 2010"
India,Mollases,2010-11,Exports,371.93,214.09,2010,"Financial Year (Apr - Mar), 2010"
India,Processed meat,2010-11,Imports,0.78,7.56,2010,"Financial Year (Apr - Mar), 2010"
India,Dairy products,2010-11,Imports,,847.83,2010,"Financial Year (Apr - Mar), 2010"
India,Poultry products,2010-11,Imports,,14.46,2010,"Financial Year (Apr - Mar), 2010"
India,Cotton raw including Waste,2010-11,Exports,,13162.42,2010,"Financial Year (Apr - Mar), 2010"
India,Sugar,2010-11,Exports,1733.87,5472.79,2010,"Financial Year (Apr - Mar), 2010"
India,Floriculture products,2010-11,Imports,,45.48,2010,"Financial Year (Apr - Mar), 2010"
India,Alcoholic beverages,2010-11,Imports,,1029.13,2010,"Financial Year (Apr - Mar), 2010"
India,Marine products,2010-11,Imports,28.35,429.04,2010,"Financial Year (Apr - Mar), 2010"
India,Shellac,2010-11,Exports,4.33,140.07,2010,"Financial Year (Apr - Mar), 2010"
